"CANTIDAD","Diferencia"
"613","0,25"
"614","0,25"
"615","0,25"
"616","0,25"
"618","0,50"
"619","0,25"
"620","0,25"
"623","0,75"
"625","0,50"
"627","0,50"
"628","0,25"
"630","0,50"
"632","0,50"
"633","0,25"
"636","0,75"
"638","0,50"
"639","0,25"
"640","0,25"
"641","0,25"
"643","0,50"
"645","0,50"
"647","0,50"
"648","0,25"
"649","0,25"
"650","0,25"
"651","0,25"
"652","0,25"
"653","0,25"
"654","0,25"
"658","1,00"
"659","0,25"
"660","0,25"
"661","0,25"
"663","0,50"
"665","0,50"
"666","0,25"
"667","0,25"
"668","0,25"
"670","0,50"
"671","0,25"
"673","0,50"
"676","0,75"
"677","0,25"
"679","0,50"
"680","0,25"
"681","0,25"
"682","0,25"
"683","0,25"
"685","0,50"
"686","0,25"
"687","0,25"
"689","0,50"
"690","0,25"
"691","0,25"
"692","0,25"
"693","0,25"
"695","0,50"
"696","0,25"
"698","0,50"
"700","0,50"
"701","0,25"
"702","0,25"
"703","0,25"
"704","0,25"
"708","1,00"
"709","0,25"
"710","0,25"
"711","0,25"
"713","0,50"
"714","0,25"
"716","0,50"
"717","0,25"
"718","0,25"
"719","0,25"
"720","0,25"
"721","0,25"
"723","0,50"
"724","0,25"
"725","0,25"
"726","0,25"
"729","0,75"
"730","0,25"
"732","0,50"
"733","0,25"
"735","0,50"
"736","0,25"
"737","0,25"
"739","0,50"
"740","0,25"
"742","0,50"
"743","0,25"
"745","0,50"
"747","0,50"
"749","0,50"
"751","0,50"
"752","0,25"
"757","1,25"
"758","0,25"
"759","0,25"
"761","0,50"
"763","0,50"
"765","0,50"
"766","0,25"
"767","0,25"
"768","0,25"
"769","0,25"
"770","0,25"
"771","0,25"
"772","0,25"
"776","1,00"
"778","0,50"
"782","1,00"
"783","0,25"
"784","0,25"
"786","0,50"
"787","0,25"
"788","0,25"
"789","0,25"
"790","0,25"
"791","0,25"
"794","0,75"
"795","0,25"
"800","1,25"
"801","0,25"
"802","0,25"
"805","0,75"
"807","0,50"
"808","0,25"
"809","0,25"
"810","0,25"
"813","0,75"
"814","0,25"
"815","0,25"
"817","0,50"
"819","0,50"
"820","0,25"
"821","0,25"
"822","0,25"
"823","0,25"
"826","0,75"
"827","0,25"
"828","0,25"
"829","0,25"
"830","0,25"
"831","0,25"
"832","0,25"
"833","0,25"
"835","0,50"
"836","0,25"
"838","0,50"
"840","0,50"
"841","0,25"
"843","0,50"
"844","0,25"
"845","0,25"
"847","0,50"
"851","1,00"
"852","0,25"
"855","0,75"
"856","0,25"
"859","0,75"
"860","0,25"
"861","0,25"
"862","0,25"
"864","0,50"
"866","0,50"
"867","0,25"
"868","0,25"
"869","0,25"
"870","0,25"
"871","0,25"
"872","0,25"
"873","0,25"
"874","0,25"
"875","0,25"
"877","0,50"
"878","0,25"
"879","0,25"
"880","0,25"
"882","0,50"
"883","0,25"
"884","0,25"
"885","0,25"
"887","0,50"
"889","0,50"
"890","0,25"
"892","0,50"
"893","0,25"
"894","0,25"
"898","1,00"
"899","0,25"
"900","0,25"
"901","0,25"
"902","0,25"
"904","0,50"
"905","0,25"
"906","0,25"
"907","0,25"
"908","0,25"
"909","0,25"
"911","0,50"
"912","0,25"
"913","0,25"
"914","0,25"
"915","0,25"
"916","0,25"
"917","0,25"
"918","0,25"
"919","0,25"
"921","0,50"
"922","0,25"
"923","0,25"
"924","0,25"
"925","0,25"
"929","1,00"
"930","0,25"
"933","0,75"
"935","0,50"
"936","0,25"
"937","0,25"
"938","0,25"
"939","0,25"
"941","0,50"
"942","0,25"
"945","0,75"
"946","0,25"
"948","0,50"
"949","0,25"
"950","0,25"
"952","0,50"
"953","0,25"
"954","0,25"
"955","0,25"
"956","0,25"
"957","0,25"
"958","0,25"
"959","0,25"
"960","0,25"
"961","0,25"
"964","0,75"
"965","0,25"
"966","0,25"
"967","0,25"
"969","0,50"
"970","0,25"
"971","0,25"
"973","0,50"
"974","0,25"
"975","0,25"
"977","0,50"
"980","0,75"
"981","0,25"
"984","0,75"
"986","0,50"
"988","0,50"
"989","0,25"
"990","0,25"
"992","0,50"
"994","0,50"
"995","0,25"
"996","0,25"
"997","0,25"
"998","0,25"
"999","0,25"
"1000","0,25"
"1002","0,50"
"1003","0,25"
"1004","0,25"
"1005","0,25"
"1006","0,25"
"1008","0,50"
"1009","0,25"
"1010","0,25"
"1011","0,25"
"1012","0,25"
"1013","0,25"
"1014","0,25"
"1016","0,50"
"1017","0,25"
"1020","0,75"
"1022","0,50"
"1023","0,25"
"1024","0,25"
"1025","0,25"
"1026","0,25"
"1027","0,25"
"1028","0,25"
"1029","0,25"
"1030","0,25"
"1031","0,25"
"1035","1,00"
"1036","0,25"
"1037","0,25"
"1040","0,75"
"1041","0,25"
"1043","0,50"
"1044","0,25"
"1047","0,75"
"1048","0,25"
"1049","0,25"
"1050","0,25"
"1051","0,25"
"1052","0,25"
"1053","0,25"
"1054","0,25"
"1055","0,25"
"1057","0,50"
"1058","0,25"
"1059","0,25"
"1060","0,25"
"1061","0,25"
"1062","0,25"
"1063","0,25"
"1064","0,25"
"1065","0,25"
"1067","0,50"
"1070","0,75"
"1071","0,25"
"1072","0,25"
"1073","0,25"
"1074","0,25"
"1075","0,25"
"1078","0,75"
"1079","0,25"
"1080","0,25"
"1081","0,25"
"1082","0,25"
"1083","0,25"
"1085","0,50"
"1086","0,25"
"1087","0,25"
"1088","0,25"
"1089","0,25"
"1090","0,25"
"1091","0,25"
"1092","0,25"
"1093","0,25"
"1094","0,25"
"1095","0,25"
"1096","0,25"
"1097","0,25"
"1098","0,25"
"1099","0,25"
"1100","0,25"
"1101","0,25"
"1102","0,25"
"1103","0,25"
"1104","0,25"
"1105","0,25"
"1107","0,50"
"1108","0,25"
"1109","0,25"
"1110","0,25"
"1111","0,25"
"1112","0,25"
"1113","0,25"
"1114","0,25"
"1116","0,50"
"1117","0,25"
"1118","0,25"
"1121","0,75"
"1122","0,25"
"1124","0,50"
"1125","0,25"
"1126","0,25"
"1130","1,00"
"1131","0,25"
"1132","0,25"
"1133","0,25"
"1134","0,25"
"1135","0,25"
"1138","0,75"
"1139","0,25"
"1140","0,25"
"1141","0,25"
"1144","0,75"
"1145","0,25"
"1147","0,50"
"1148","0,25"
"1149","0,25"
"1150","0,25"
"1151","0,25"
"1152","0,25"
"1153","0,25"
"1155","0,50"
"1161","1,50"
"1162","0,25"
"1163","0,25"
"1164","0,25"
"1166","0,50"
"1167","0,25"
"1168","0,25"
"1169","0,25"
"1172","0,75"
"1173","0,25"
"1174","0,25"
"1175","0,25"
"1176","0,25"
"1177","0,25"
"1178","0,25"
"1180","0,50"
"1181","0,25"
"1183","0,50"
"1184","0,25"
"1185","0,25"
"1186","0,25"
"1187","0,25"
"1191","1,00"
"1193","0,50"
"1194","0,25"
"1196","0,50"
"1197","0,25"
"1198","0,25"
"1199","0,25"
"1200","0,25"
"1201","0,25"
"1202","0,25"
"1203","0,25"
"1204","0,25"
"1205","0,25"
"1206","0,25"
"1207","0,25"
"1209","0,50"
"1210","0,25"
"1211","0,25"
"1212","0,25"
"1213","0,25"
"1219","1,50"
"1220","0,25"
"1221","0,25"
"1224","0,75"
"1225","0,25"
"1227","0,50"
"1228","0,25"
"1230","0,50"
"1231","0,25"
"1232","0,25"
"1233","0,25"
"1235","0,50"
"1236","0,25"
"1238","0,50"
"1239","0,25"
"1240","0,25"
"1241","0,25"
"1245","1,00"
"1247","0,50"
"1249","0,50"
"1251","0,50"
"1252","0,25"
"1255","0,75"
"1256","0,25"
"1258","0,50"
"1259","0,25"
"1260","0,25"
"1261","0,25"
"1262","0,25"
"1263","0,25"
"1266","0,75"
"1267","0,25"
"1269","0,50"
"1270","0,25"
"1271","0,25"
"1272","0,25"
"1273","0,25"
"1274","0,25"
"1275","0,25"
"1276","0,25"
"1278","0,50"
"1279","0,25"
"1280","0,25"
"1282","0,50"
"1283","0,25"
"1285","0,50"
"1289","1,00"
"1290","0,25"
"1291","0,25"
"1292","0,25"
"1293","0,25"
"1294","0,25"
"1295","0,25"
"1296","0,25"
"1297","0,25"
"1301","1,00"
"1302","0,25"
"1303","0,25"
"1304","0,25"
"1305","0,25"
"1307","0,50"
"1309","0,50"
"1310","0,25"
"1311","0,25"
"1312","0,25"
"1314","0,50"
"1315","0,25"
"1317","0,50"
"1318","0,25"
"1321","0,75"
"1322","0,25"
"1323","0,25"
"1325","0,50"
"1326","0,25"
"1327","0,25"
"1328","0,25"
"1330","0,50"
"1332","0,50"
"1333","0,25"
"1334","0,25"
"1336","0,50"
"1337","0,25"
"1339","0,50"
"1340","0,25"
"1341","0,25"
"1342","0,25"
"1343","0,25"
"1345","0,50"
"1346","0,25"
"1347","0,25"
"1348","0,25"
"1349","0,25"
"1351","0,50"
"1353","0,50"
"1355","0,50"
"1361","1,50"
"1362","0,25"
"1363","0,25"
"1364","0,25"
"1365","0,25"
"1366","0,25"
"1367","0,25"
"1368","0,25"
"1369","0,25"
"1371","0,50"
"1372","0,25"
"1373","0,25"
"1377","1,00"
"1378","0,25"
"1379","0,25"
"1381","0,50"
"1382","0,25"
"1383","0,25"
"1385","0,50"
"1386","0,25"
"1387","0,25"
"1391","1,00"
"1392","0,25"
"1393","0,25"
"1394","0,25"
"1396","0,50"
"1397","0,25"
"1398","0,25"
"1399","0,25"
"1400","0,25"
"1401","0,25"
"1402","0,25"
"1405","0,75"
"1407","0,50"
"1408","0,25"
"1411","0,75"
"1413","0,50"
"1414","0,25"
"1416","0,50"
"1418","0,50"
"1419","0,25"
"1421","0,50"
"1424","0,75"
"1427","0,75"
"1429","0,50"
"1430","0,25"
"1432","0,50"
"1433","0,25"
"1434","0,25"
"1435","0,25"
"1437","0,50"
"1438","0,25"
"1439","0,25"
"1440","0,25"
"1442","0,50"
"1443","0,25"
"1444","0,25"
"1445","0,25"
"1447","0,50"
"1451","1,00"
"1452","0,25"
"1453","0,25"
"1454","0,25"
"1455","0,25"
"1456","0,25"
"1457","0,25"
"1458","0,25"
"1459","0,25"
"1460","0,25"
"1461","0,25"
"1462","0,25"
"1464","0,50"
"1465","0,25"
"1466","0,25"
"1467","0,25"
"1468","0,25"
"1470","0,50"
"1471","0,25"
"1472","0,25"
"1473","0,25"
"1474","0,25"
"1475","0,25"
"1476","0,25"
"1479","0,75"
"1480","0,25"
"1481","0,25"
"1482","0,25"
"1483","0,25"
"1484","0,25"
"1485","0,25"
"1486","0,25"
"1487","0,25"
"1490","0,75"
"1492","0,50"
"1494","0,50"
"1495","0,25"
"1496","0,25"
"1497","0,25"
"1498","0,25"
"1499","0,25"
"1501","0,50"
"1502","0,25"
"1504","0,50"
"1505","0,25"
"1506","0,25"
"1507","0,25"
"1508","0,25"
"1509","0,25"
"1512","0,75"
"1513","0,25"
"1515","0,50"
"1517","0,50"
"1520","0,75"
"1521","0,25"
"1522","0,25"
"1523","0,25"
"1524","0,25"
"1526","0,50"
"1527","0,25"
"1529","0,50"
"1532","0,75"
"1533","0,25"
"1534","0,25"
"1536","0,50"
"1537","0,25"
"1540","0,75"
"1542","0,50"
"1544","0,50"
"1545","0,25"
"1546","0,25"
"1550","1,00"
"1551","0,25"
"1554","0,75"
"1555","0,25"
"1556","0,25"
"1557","0,25"
"1559","0,50"
"1561","0,50"
"1562","0,25"
"1563","0,25"
"1564","0,25"
"1565","0,25"
"1568","0,75"
"1569","0,25"
"1571","0,50"
"1572","0,25"
"1573","0,25"
"1574","0,25"
"1575","0,25"
"1577","0,50"
"1578","0,25"
"1579","0,25"
"1580","0,25"
"1581","0,25"
"1582","0,25"
"1583","0,25"
"1585","0,50"
"1586","0,25"
"1589","0,75"
"1592","0,75"
"1593","0,25"
"1595","0,50"
"1596","0,25"
"1597","0,25"
"1598","0,25"
"1599","0,25"
"1601","0,50"
"1604","0,75"
"1605","0,25"
"1606","0,25"
"1607","0,25"
"1608","0,25"
"1613","1,25"
"1615","0,50"
"1616","0,25"
"1617","0,25"
"1618","0,25"
"1619","0,25"
"1621","0,50"
"1622","0,25"
"1623","0,25"
"1624","0,25"
"1625","0,25"
"1626","0,25"
"1627","0,25"
"1628","0,25"
"1632","1,00"
"1636","1,00"
"1637","0,25"
"1638","0,25"
"1639","0,25"
"1640","0,25"
"1641","0,25"
"1644","0,75"
"1646","0,50"
"1648","0,50"
"1651","0,75"
"1652","0,25"
"1653","0,25"
"1657","1,00"
"1658","0,25"
"1659","0,25"
"1660","0,25"
"1661","0,25"
"1662","0,25"
"1663","0,25"
"1664","0,25"
"1666","0,50"
"1667","0,25"
"1668","0,25"
"1669","0,25"
"1670","0,25"
"1672","0,50"
"1673","0,25"
"1674","0,25"
"1679","1,25"
"1680","0,25"
"1681","0,25"
"1682","0,25"
"1683","0,25"
"1684","0,25"
"1685","0,25"
"1688","0,75"
"1689","0,25"
"1690","0,25"
"1692","0,50"
"1694","0,50"
"1695","0,25"
"1696","0,25"
"1697","0,25"
"1698","0,25"
"1699","0,25"
"1700","0,25"
"1701","0,25"
"1702","0,25"
"1703","0,25"
"1704","0,25"
"1705","0,25"
"1706","0,25"
"1707","0,25"
"1708","0,25"
"1709","0,25"
"1710","0,25"
"1711","0,25"
"1713","0,50"
"1714","0,25"
"1716","0,50"
"1718","0,50"
"1719","0,25"
"1720","0,25"
"1722","0,50"
"1723","0,25"
"1724","0,25"
"1725","0,25"
"1726","0,25"
"1727","0,25"
"1728","0,25"
"1729","0,25"
"1730","0,25"
"1731","0,25"
"1733","0,50"
"1734","0,25"
"1735","0,25"
"1736","0,25"
"1737","0,25"
"1739","0,50"
"1740","0,25"
"1741","0,25"
"1743","0,50"
"1748","1,25"
"1750","0,50"
"1751","0,25"
"1752","0,25"
"1753","0,25"
"1754","0,25"
"1755","0,25"
"1756","0,25"
"1757","0,25"
"1760","0,75"
"1761","0,25"
"1762","0,25"
"1763","0,25"
"1764","0,25"
"1766","0,50"
"1767","0,25"
"1768","0,25"
"1769","0,25"
"1771","0,50"
"1772","0,25"
"1774","0,50"
"1775","0,25"
"1776","0,25"
"1777","0,25"
"1778","0,25"
"1779","0,25"
"1780","0,25"
"1782","0,50"
"1783","0,25"
"1784","0,25"
"1785","0,25"
"1787","0,50"
"1788","0,25"
"1791","0,75"
"1793","0,50"
"1794","0,25"
"1795","0,25"
"1796","0,25"
"1798","0,50"
"1802","1,00"
"1803","0,25"
"1804","0,25"
"1805","0,25"
"1808","0,75"
"1809","0,25"
"1810","0,25"
"1811","0,25"
"1812","0,25"
"1813","0,25"
"1814","0,25"
"1816","0,50"
"1817","0,25"
"1818","0,25"
"1819","0,25"
"1820","0,25"
"1821","0,25"
"1822","0,25"
"1823","0,25"
"1824","0,25"
"1825","0,25"
"1826","0,25"
"1827","0,25"
"1829","0,50"
"1830","0,25"
"1832","0,50"
"1833","0,25"
"1834","0,25"
"1835","0,25"
"1836","0,25"
"1837","0,25"
"1838","0,25"
"1839","0,25"
"1840","0,25"
"1842","0,50"
"1844","0,50"
"1846","0,50"
"1847","0,25"
"1848","0,25"
"1849","0,25"
"1850","0,25"
"1852","0,50"
"1853","0,25"
"1854","0,25"
"1855","0,25"
"1857","0,50"
"1858","0,25"
"1859","0,25"
"1862","0,75"
"1863","0,25"
"1864","0,25"
"1865","0,25"
"1866","0,25"
"1867","0,25"
"1870","0,75"
"1872","0,50"
"1873","0,25"
"1874","0,25"
"1876","0,50"
"1877","0,25"
"1878","0,25"
"1879","0,25"
"1880","0,25"
"1881","0,25"
"1882","0,25"
"1883","0,25"
"1884","0,25"
"1886","0,50"
"1887","0,25"
"1888","0,25"
"1889","0,25"
"1890","0,25"
"1891","0,25"
"1893","0,50"
"1897","1,00"
"1899","0,50"
"1902","0,75"
"1903","0,25"
"1904","0,25"
"1905","0,25"
"1907","0,50"
"1908","0,25"
"1909","0,25"
"1911","0,50"
"1912","0,25"
"1913","0,25"
"1914","0,25"
"1915","0,25"
"1916","0,25"
"1917","0,25"
"1919","0,50"
"1920","0,25"
"1921","0,25"
"1926","1,25"
"1928","0,50"
"1929","0,25"
"1930","0,25"
"1931","0,25"
"1934","0,75"
"1935","0,25"
"1936","0,25"
"1937","0,25"
"1938","0,25"
"1939","0,25"
"1940","0,25"
"1941","0,25"
"1943","0,50"
"1944","0,25"
"1945","0,25"
"1946","0,25"
"1947","0,25"
"1948","0,25"
"1949","0,25"
"1950","0,25"
"1951","0,25"
"1952","0,25"
"1953","0,25"
"1954","0,25"
"1955","0,25"
"1956","0,25"
"1957","0,25"
"1958","0,25"
"1959","0,25"
"1960","0,25"
"1963","0,75"
"1967","1,00"
"1969","0,50"
"1970","0,25"
"1973","0,75"
"1974","0,25"
"1975","0,25"
"1979","1,00"
"1980","0,25"
"1981","0,25"
"1985","1,00"
"1986","0,25"
"1987","0,25"
"1988","0,25"
"1989","0,25"
"1990","0,25"
"1991","0,25"
"1993","0,50"
"1996","0,75"
